id,xc,yc,old_label,new_label
n207,13.161875834655248,772.7291532359272,,"15,0"
n208,14.339759861054873,822.784095485616,,"16,0"
n212,12.82568774591148,870.589267186559,,"17,0"
n216,17.018423166448272,917.3568375173784,"18,0","18,0"
n532,13.372322075315324,972.5615254635193,"19,0","19,0"
n533,14.550206101714949,1022.6164677132081,"20,0","20,0"
n537,13.036133986571613,1070.421639414151,"21,0","21,0"
n541,17.228869407108405,1117.1892097449704,"22,0","22,0"
n633,14.808469465918165,1544.5874360420923,"31,0","31,0"
n206,56.600850723574254,773.4790767521758,,"15,1"
n209,54.946495952154876,824.1093747096147,,"16,1"
n213,57.58282931750615,869.3205429852487,,"17,1"
n217,59.18156131273385,916.5693126310061,,"18,1"
n531,56.81129696423422,973.3114489797679,,"19,1"
n534,55.156942192814896,1023.9417469372067,,"20,1"
n538,57.79327555816634,1069.1529152128408,,"21,1"
n542,59.392007553393924,1116.4016848585982,"22,1","22,1"
n626,63.425386660032416,1404.0242186963094,"28,1","28,1"
n627,65.76847565199424,1446.546551731968,"29,1","29,1"
n630,60.11559526031219,1500.4041901796786,"30,1","30,1"
n631,59.19373186407232,1546.1914756035392,"31,1","31,1"
n201,106.22310389319323,627.3704990907925,,"12,2"
n205,108.85943725854465,771.6349968431152,,"15,2"
n210,109.04204985486281,819.2090457128716,,"16,2"
n214,106.49037636959561,865.9390146735673,,"17,2"
n218,109.64551042000882,919.4509939101904,,"18,2"
n530,109.06988349920483,971.4673690707073,,"19,2"
n535,109.25249609552283,1019.0414179404636,,"20,2"
n539,106.70082261025563,1065.7713869011593,,"21,2"
n543,109.85595666066901,1119.2833661377824,"22,2","22,2"
n606,105.70048557633324,1164.463452529256,"23,2","23,2"
n614,110.67763023159615,1211.060090792366,"24,2","24,2"
n615,111.09883376528968,1264.473087808843,"25,2","25,2"
n616,113.4419227572515,1306.9954208445017,"26,2","26,2"
n623,112.60056898003343,1354.956573068652,"27,2","27,2"
n624,113.02177251372696,1408.369570085129,,"28,2"
n625,115.36486150568878,1450.8919031207877,,"29,2"
n628,109.71198111400675,1504.7495415684982,,"30,2"
n629,112.05507010596854,1547.271874604157,"31,2","31,2"
n200,156.31479579055474,626.4860605063857,,"12,3"
n202,151.4990461498498,675.8690392852957,,"13,3"
n203,155.27093360155874,719.2171739993039,,"14,3"
n204,149.70440872215443,771.9037210444255,,"15,3"
n211,156.91199553682856,821.0155242518088,,"16,3"
n215,157.47312616193244,867.7830945826279,,"17,3"
n219,157.51545610197445,919.2198710790037,,"18,3"
n529,157.1224417774887,971.7360932720176,,"19,3"
n536,157.1224417774887,1020.8478964794008,,"20,3"
n540,157.68357240259263,1067.6154668102197,,"21,3"
n544,157.7259023426344,1119.0522433065955,,"22,3"
n607,153.57043125829864,1164.2323296980692,,"23,3"
n609,152.66350503823384,1214.9890672070298,,"24,3"
n611,153.08470857192737,1268.4020642235068,,"25,3"
n613,155.42779756388921,1310.9243972591655,,"26,3"
n618,154.5864437866711,1358.8855494833158,,"27,3"
n620,155.00764732036464,1412.2985464997928,,"28,3"
n622,157.3507363123265,1454.8208795354515,,"29,3"
n632,155.4975526188793,1502.90526658438,"30,3","30,3"
n137,207.3664918840165,484.17061173212466,,"9,4"
n139,207.3664918840165,530.7505606926061,,"10,4"
n138,207.3664918840165,580.0390112925528,,"11,4"
n142,208.52792362361038,630.4228186052745,,"12,4"
n148,207.86385874673124,677.2029418546841,,"13,4"
n37,207.68314269277,723.7002837558795,,"14,4"
n39,207.68314269277,770.280232716361,,"15,4"
n38,207.68314269277,819.5686833163077,,"16,4"
n42,208.84457443236386,869.9524906290294,,"17,4"
n48,208.18050955548472,916.732613878439,,"18,4"
n491,207.89358893343,970.112604943953,,"19,4"
n490,207.89358893343,1019.4010555438997,,"20,4"
n494,209.05502067302405,1069.7848628566214,,"21,4"
n499,208.39095579614468,1116.564986106031,,"22,4"
n605,204.2354847118089,1161.7450724975047,,"23,4"
n608,203.3285584917441,1212.5018100064653,"24,4","24,4"
n610,203.74976202543763,1265.9148070229423,"25,4","25,4"
n612,206.09285101739945,1308.437140058601,"26,4","26,4"
n617,205.25149724018138,1356.3982922827513,"27,4","27,4"
n619,205.6727007738749,1409.8112892992283,"28,4","28,4"
n621,208.01578976583673,1452.333622334887,"29,4","29,4"
n354,257.90474512823977,434.68870765604,,"8,5"
n136,255.64073294809987,483.870521749818,,"9,5"
n129,254.96073051417557,530.2405588671629,,"10,5"
n126,254.84575906824756,580.3695080809647,,"11,5"
n131,254.3357572428044,627.920622149194,,"12,5"
n146,255.5098239451267,678.199039170003,,"13,5"
n36,255.95738375685335,723.4001937735728,,"14,5"
n29,255.27738132292905,769.7702308909178,,"15,5"
n26,255.16240987700104,819.8991801047196,,"16,5"
n31,254.65240805155787,867.4502941729487,,"17,5"
n46,255.82647475388018,917.7287111937578,,"18,5"
n485,255.48782756358924,969.6026031185098,,"19,5"
n482,255.37285611766106,1019.7315523323116,,"20,5"
n487,254.8628542922179,1067.2826664005406,,"21,5"
n497,256.0369209945402,1117.5610834213498,,"22,5"
n604,251.88144991020442,1162.7411698128235,"23,5","23,5"
n352,307.5733338963117,435.1613350801313,,"8,6"
n134,302.84481357358254,482.3405162734884,,"9,6"
n127,303.69481661598786,530.7505606926061,,"10,6"
n125,303.1848147905447,580.0390112925528,,"11,6"
n130,303.0148141820637,628.4306239746371,,"12,6"
n140,304.1809121058634,677.8357852541134,,"13,6"
n34,303.161464382336,721.8701882972432,,"14,6"
n27,304.01146742474134,770.280232716361,,"15,6"
n25,303.5014655992982,819.5686833163077,,"16,6"
n30,303.33146499081715,867.9602959983919,,"17,6"
n40,304.4975629146169,917.3654572778681,,"18,6"
n483,304.2219136654014,970.112604943953,,"19,6"
n481,303.71191183995825,1019.4010555438997,,"20,6"
n486,303.5419112314771,1067.792668225984,,"21,6"
n492,304.70800915527707,1117.19782950546,"22,6","22,6"
n350,353.38116751550587,432.65913862405074,,"8,7"
n135,353.0608096167141,482.00051505652624,,"9,7"
n132,353.6607974470927,530.2405588671629,,"10,7"
n128,352.8908090082332,579.5290094671096,,"11,7"
n133,352.47079318772535,629.1106264085612,,"12,7"
n147,354.55097120043115,678.5310716084426,,"13,7"
n35,353.3774604254676,721.530187080281,,"14,7"
n32,353.9774482558462,769.7702308909178,,"15,7"
n28,353.20745981698667,819.0586814908644,,"16,7"
n33,352.7874439964788,868.6402984323161,,"17,7"
n47,354.86762200918463,918.0607436321974,,"18,7"
n488,354.18789449650626,969.6026031185098,,"19,7"
n484,353.41790605764663,1018.8910537184564,,"20,7"
n489,352.997890237139,1068.472670659908,,"21,7"
n498,355.0780682498448,1117.8931158597893,"22,7","22,7"
n349,402.0602244547651,433.1691404494939,,"8,8"
n145,400.4498699299852,483.3366135888071,,"9,8"
n143,404.43425919126037,532.9333523711448,,"10,8"
n141,397.4615779840291,580.7015405194044,,"11,8"
n144,401.11393480686445,631.2409465335896,,"12,8"
n149,399.4537726146665,676.8709094162447,,"13,8"
n45,400.7665207387387,722.8662856125619,,"14,8"
n43,404.75091000001385,772.4630243948995,,"15,8"
n41,397.77822879278256,820.2312125431591,,"16,8"
n44,401.43058561561793,870.7706185573445,,"17,8"
n49,399.77042342341997,916.4005814399995,,"18,8"
n495,404.9613562406739,972.2953966224916,,"19,8"
n493,397.98867503344263,1020.0635847707512,,"20,8"
n496,401.641031856278,1070.6029907849365,,"21,8"
n500,399.98086966408005,1116.2329536675916,,"22,8"
n597,401.9748056265796,1154.8441920015564,"23,8","23,8"
n351,451.516203460427,433.849142883418,,"8,9"
n112,449.6210918353424,485.4613670845311,,"9,9"
n114,449.6210918353424,532.0413160450125,,"10,9"
n113,449.6210918353424,581.3297666449592,,"11,9"
n117,450.78252357493625,631.713573957681,,"12,9"
n123,450.1184586980571,678.4936972070906,,"13,9"
n12,449.93774264409586,724.9910391082859,,"14,9"
n14,449.93774264409586,771.5709880687674,,"15,9"
n13,449.93774264409586,820.8594386687141,,"16,9"
n17,451.09917438368973,871.2432459814358,,"17,9"
n23,450.4351095068106,918.0233692308454,,"18,9"
n471,450.1481888847559,971.4033602963594,,"19,9"
n470,450.1481888847559,1020.6918108963062,,"20,9"
n474,451.3096206243499,1071.0756182090279,,"21,9"
n479,450.64555574747055,1117.8557414584375,,"22,9"
n595,449.6207708249751,1155.8402893168752,,"23,9"
n598,449.069939355328,1209.4149096404108,"24,9","24,9"
n353,500.159345079566,435.97946300844643,,"8,10"
n111,497.89533289942574,485.16127710222446,,"9,10"
n104,497.21533046550144,531.5313142195694,,"10,10"
n101,497.10035901957343,581.6602634333711,,"11,10"
n106,496.59035719413026,629.2113775016004,,"12,10"
n121,497.76442389645257,679.4897945224094,,"13,10"
n11,498.2119837081792,724.6909491259793,,"14,10"
n4,497.5319812742549,771.0609862433242,,"15,10"
n1,497.4170098283269,821.189935457126,,"16,10"
n6,496.90700800288374,868.7410495253552,,"17,10"
n21,498.08107470520605,919.0194665461643,,"18,10"
n465,497.7424275149151,970.8933584709163,,"19,10"
n462,497.62745606898693,1021.022307684718,,"20,10"
n467,497.11745424354376,1068.573421752947,,"21,10"
n477,498.29152094586607,1118.8518387737563,,"22,10"
n594,498.291858985712,1155.4770354009854,"23,10","23,10"
n340,550.7750424009694,88.26518231081,,"1,11"
n341,550.3550265804615,137.84679925226177,,"2,11"
n344,552.4352045931673,187.267244452143,,"3,11"
n318,551.2616938182038,230.26635992398164,,"4,11"
n316,551.8616816485822,278.5064037346184,,"5,11"
n315,551.0916932097228,327.794854334565,,"6,11"
n317,550.671677389215,377.37647127601656,,"7,11"
n323,552.7518554019208,426.796916475898,,"8,11"
n109,545.0994135249084,483.63127162589484,,"9,11"
n102,545.9494165673137,532.0413160450125,,"10,11"
n100,545.4394147418706,581.3297666449592,,"11,11"
n105,545.2694141333895,629.7213793270436,,"12,11"
n115,546.4355120571893,679.1265406065198,,"13,11"
